Date,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-07,Bethune-Cookman,117.1,76.3,76.5,0.209,0.493,0.604,56.9,73.5,13.2,10.0,0.59,13.0,28.1,0.149,0.386,18.8,80.0,0.106
2022-11-11,North Carolina A&T,138.3,87.7,81.3,0.342,0.291,0.61,50.6,61.0,8.6,7.3,0.589,4.2,32.5,0.241,0.485,22.9,69.2,0.09
2022-11-16,Seton Hall,116.9,94.4,71.4,0.569,0.276,0.563,50.7,40.0,11.3,11.1,0.474,8.7,35.3,0.483,0.418,16.1,64.9,0.164
2022-11-21,Omaha,133.3,85.3,74.9,0.323,0.4,0.667,54.7,66.7,12.0,8.2,0.646,10.7,26.7,0.246,0.468,17.3,79.4,0.079
2022-11-25,Clemson,121.96000000000001,88.74,74.96000000000001,0.3886,0.3554,0.5884,54.58,58.67999999999999,10.719999999999999,8.899999999999999,0.5431999999999999,9.479999999999999,32.4,0.3038,0.4452,17.300000000000004,74.38,0.1222
2022-11-26,TCU,117.14000000000001,95.74000000000001,73.9,0.396,0.31260000000000004,0.5644,51.260000000000005,52.44,10.34,8.559999999999999,0.5154,10.48,32.24,0.31,0.48579999999999995,16.740000000000002,69.42,0.1204
2022-11-29,Georgia Tech,113.66000000000001,97.6,70.97999999999999,0.43099999999999994,0.3410000000000001,0.5508,53.04,55.8,10.120000000000001,10.02,0.5026,11.780000000000001,35.480000000000004,0.3218,0.47779999999999995,14.7,69.86000000000001,0.1274
2022-12-06,Duke,108.52000000000001,100.48,70.38,0.36479999999999996,0.3366,0.5266,50.62,56.6,8.739999999999998,9.2,0.492,11.860000000000001,31.919999999999998,0.2538,0.49420000000000003,13.3,70.22,0.1296
2022-12-08,Iowa State,103.92,99.9,69.03999999999999,0.37939999999999996,0.3524,0.5248,50.32000000000001,56.6,8.1,9.720000000000002,0.4878,14.319999999999999,31.2,0.2672,0.487,13.719999999999999,69.34,0.13079999999999997
2022-12-11,Wisconsin,102.32000000000001,99.9,68.7,0.33259999999999995,0.37339999999999995,0.5292,49.28000000000001,59.5,8.459999999999999,9.080000000000002,0.4998,15.6,28.059999999999995,0.231,0.504,14.139999999999997,71.38,0.11480000000000001
2022-12-17,Southeast Missouri State,110.22,96.4,70.4,0.3834,0.3842,0.5622,53.620000000000005,61.56,7.2,8.820000000000002,0.5368,13.98,29.060000000000002,0.2616,0.48200000000000004,13.3,77.34,0.1152
2022-12-21,Eastern Illinois,106.28,99.44,73.52000000000001,0.36879999999999996,0.3892,0.549,51.86,56.0,7.9,6.779999999999999,0.5194000000000001,14.079999999999998,26.119999999999997,0.2572,0.5229999999999999,14.639999999999997,79.22,0.13679999999999998
2022-12-29,Nebraska,102.74000000000001,97.1,73.47999999999999,0.3432,0.4152,0.5258,52.9,59.839999999999996,9.080000000000002,7.540000000000001,0.4968,13.479999999999999,28.159999999999997,0.24220000000000003,0.518,16.119999999999997,79.22,0.1356
2023-01-01,Penn State,102.93999999999998,104.0,74.03999999999999,0.3338,0.3988,0.5018,53.1,59.36,8.16,7.040000000000001,0.4718,10.62,28.68,0.23040000000000002,0.557,14.76,83.38,0.16960000000000003
2023-01-05,Indiana,107.96,107.74000000000001,75.25999999999999,0.35760000000000003,0.3728,0.5162,52.739999999999995,56.34000000000001,7.959999999999999,7.460000000000001,0.48260000000000003,9.680000000000001,31.360000000000003,0.25420000000000004,0.5681999999999999,15.14,79.86,0.2088
2023-01-08,Rutgers,103.82000000000001,108.1,72.94000000000001,0.3254,0.40259999999999996,0.5032,50.48,59.42,9.02,8.72,0.46620000000000006,11.440000000000001,31.78,0.23760000000000003,0.5566,15.5,75.67999999999999,0.227
2023-01-12,Michigan,108.72,108.35999999999999,69.66,0.29860000000000003,0.3956,0.5222,50.76,60.67999999999999,7.9,11.180000000000001,0.4856,10.58,31.1,0.2298,0.5459999999999999,14.34,74.38000000000001,0.1924
2023-01-15,Maryland,118.55999999999999,109.24000000000001,69.16,0.3238,0.3698,0.5894,52.2,59.56,7.960000000000001,11.82,0.555,11.919999999999998,30.779999999999994,0.24899999999999997,0.5544,14.220000000000002,75.32000000000001,0.179
2023-01-31,Northwestern,121.97999999999999,106.75999999999999,68.28,0.3386,0.3712,0.6195999999999999,52.339999999999996,58.419999999999995,8.02,12.12,0.5858000000000001,13.180000000000001,30.639999999999997,0.2674,0.529,13.9,70.99999999999999,0.1694
2023-01-21,Ohio State,118.82000000000001,108.5,67.93999999999998,0.30820000000000003,0.3928,0.6167999999999999,50.36,59.220000000000006,7.8,11.18,0.5880000000000001,14.160000000000002,27.880000000000003,0.2398,0.532,13.459999999999999,69.66,0.1524
2023-01-26,Michigan State,114.66,108.17999999999999,67.8,0.28600000000000003,0.356,0.5966,50.8,52.54,7.82,9.48,0.5736000000000001,13.84,26.8,0.21080000000000002,0.5382,13.320000000000002,71.44,0.137
2023-01-29,Rutgers,113.36000000000001,106.5,70.3,0.33740000000000003,0.35140000000000005,0.6045999999999999,49.94,52.04,8.54,8.540000000000001,0.5732,15.180000000000001,26.619999999999997,0.2596,0.5296,14.62,70.34,0.1558
2023-02-04,Illinois,113.0,109.78,70.47999999999999,0.4034,0.37200000000000005,0.5925999999999999,47.4,50.52,8.5,6.959999999999999,0.546,14.26,25.919999999999998,0.325,0.5372000000000001,14.940000000000001,67.1,0.2008
