rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Houston,B12,13-0,114.99774471982,30,83.126572004224,1,0.976621976259216,1,28.1960057463565,2.80399425364347,15.1960057463565,2.80399425364347,0-0,0.483718132978028,0.483718132978028,0,0.685442790824227,0.483718132978028,0.831132821490927,0.689752826390658,0.831692818790233,105.815630087037,105.530595884932,108.944401372493,99.650080366882,0,0,120.222983531624,86.9565909023467,0.976461559176012,4,0.0540224839751573,0,0,0,0,0,0.831132821490927,0,2.94096270357317,2,95,65.8882631823065
2,Purdue,B10,13-1,124.319270394836,2,90.606683135833,4,0.974362767232566,2,27.6865582772949,3.31344172270516,16.6865582772948,3.31344172270516,2-1,0.682758101020653,0.663623915671705,0.752916780633461,0.743362029893884,0.663623915671704,0.787217992716084,0.658657804809089,0.668451226728188,109.942006467908,99.8312643323065,111.284823959295,99.1127523545642,127.012743204889,94.1029743418077,126.24274381108,93.7000395962749,0.968575596698406,5,0.0636666030526865,242,213,206.1625,1.17383132237919,1.03316558539987,0.793271147789488,0.666666666666667,4.67604581576253,1,85,69.804289985898
3,Arizona,P12,11-3,120.954890321636,3,90.4491613521726,3,0.965849865644294,3,25.9306288831481,5.06937111685195,16.930628883148,3.06937111685195,2-1,0.673514587320343,0.650468673091635,0.758016272825606,0.706783521857617,0.650468673091635,0.737756688678908,0.694371334716982,0.649982809369694,111.447566132052,101.182638693372,110.189273384232,99.9678238703765,126.418567094523,93.6374813091701,120.766280134292,89.3888456056319,0.969525125777231,6,-0.0327057446874428,279,231,230.1,1.21251629726206,1.00391134289439,0.734181467947138,0.666666666666667,2.86653972749829,3,236,75.5262702471713
4,Alabama,SEC,8-5,127.880371436762,1,98.2053086482244,62,0.954191817526051,4,21.8554509196808,9.14454908031921,13.8554509196808,4.14454908031921,0-0,0.677389447865356,0.677389447865356,0,0.744710346087489,0.677389447865355,0.793330994803474,0.647507604280599,0.679147638060761,111.678152100733,101.077309973985,111.992887085254,99.2534779977986,0,0,125.028948037801,103.919757816633,0.8934667434122,5,-0.173717060432541,0,0,0,0,0,0.793330994803474,0,0.173356514092639,57,359,73.5650095202397
5,Michigan St.,B10,9-5,116.406050044404,25,91.9752950000984,8,0.937555147434957,5,21.4822479985006,9.51775200149937,13.4822479985006,6.51775200149937,1-2,0.618975443311693,0.575656596509464,0.777811214919865,0.709503241420708,0.575656596509464,0.783118896121892,0.692650178820551,0.766568670103373,109.629298503162,103.328825253966,111.085063099429,100.710846231545,116.118941262828,98.4239422950411,117.577352089768,99.1004540743865,0.877188118680759,5,-0.170031922915227,219,208,197,1.11167512690355,1.05583756345178,0.78405554574578,0.333333333333333,-0.388071874243391,72,358,67.0446559854809
6,BYU,B12,12-1,117.994590278365,16,93.3214008783821,16,0.936895352742888,6,24.5827166007635,6.41728339923653,12.5827166007635,5.41728339923653,0-0,0.437416679324071,0.437416679324071,0,0.664146711858791,0.437416679324071,0.827896179800532,0.713397061510776,0.868874420621781,103.054035380793,105.737580526551,107.508398255414,99.6744613979854,0,0,117.767915355423,100.688438729034,0.858377167001257,2,0.0165828813034266,0,0,0,0,0,0.827896179800532,0,1.35420106567942,25,147,70.07229661275
7,Auburn,SEC,11-2,118.532397833839,13,94.0543037494419,18,0.934631453928007,7,24.0715655694446,6.92843443055543,13.0715655694446,4.92843443055543,0-0,0.508692410946179,0.508692410946179,0,0.656535141953251,0.508692410946179,0.76331044768058,0.733119449146205,0.852557854988795,105.040316857361,104.976927096841,109.418801440212,101.754162757381,0,0,114.470798170195,97.1548467617861,0.868316780778628,1,-0.0502143323076539,0,0,0,0,0,0.76331044768058,0,0.755239827199446,37,263,71.8436332673451
8,Connecticut,BE,12-2,119.591968721357,9,95.2733807298241,26,0.931779762892559,8,23.7982652447305,7.20173475526946,13.7982652447305,6.20173475526946,2-1,0.503533053708114,0.471475513606587,0.621077367413712,0.657974883845848,0.471475513606587,0.760549537477441,0.691046057300221,0.782848283418108,104.67801312146,104.711546575834,108.314457463641,100.68177564536,112.298180715724,99.8492736076594,126.934205644491,96.5674106118053,0.958688172090072,5,0.0282661467307581,214,196,191.6,1.11691022964509,1.02296450939457,0.785162273371041,0.666666666666667,1.98296306887018,14,132,66.2822294683796
9,Tennessee,SEC,10-3,113.20446699416,44,90.21551831917,2,0.931530016360383,9,22.7632461117126,8.23675388828741,12.7632461117126,5.23675388828741,0-0,0.623993496374449,0.623993496374449,0,0.712514460764219,0.62399349637445,0.776446268379052,0.662836346360309,0.702870514514788,109.164890749497,101.805910217455,112.045601758277,100.828110629504,0,0,117.876558887948,95.8008980787847,0.915653748630409,5,0.0128155513272162,0,0,0,0,0,0.776446268379052,0,1.80413998423231,18,157,70.30792206604
10,Marquette,BE,11-3,115.450009627613,29,92.7710994616888,11,0.925192124093723,10,22.7400675239653,8.25993247603473,13.7400675239653,6.25993247603473,2-1,0.654078764529578,0.634416342081792,0.726174313504795,0.71622897103578,0.634416342081792,0.761225916960473,0.658168056842379,0.694220624456604,108.371968489526,99.4094119537282,110.120025966633,98.8420075827853,100.454054721134,85.5395176413889,111.680710107093,90.9275223360368,0.914055107775585,6,0.0535943562765165,210,190,216.9875,0.967797684198399,0.875626476179504,0.767411494040887,0.666666666666667,2.4089271344593,10,98,71.0908665444262
